Designator,Mid X,Mid Y,Rotation,Layer
,,,,
C1,124.968,-30.48,180,top
C14,116.8,-41.03,270,top
C15,120.82,-37.36,90,top
C16,53.34,-53.594,270,top
C17,100.7,-39.7,180,top
C18,63.67,-67.54,0,top
C19,117.3,-37,0,top
C20,100.7,-40.8,180,top
C21,103,-36,180,top
C22,117.3,-38.2,0,top
C23,103,-35,180,top
C24,102.5,-46.25,270,top
C25,115.1,-44.82,270,top
C26,105.8,-33.4,90,top
C27,114.03,-31.75,0,top
C28,104.6,-33.401,90,top
C29,53.34,-56.67,90,top
C3,131.318,-35.24,90,top
C30,90.88,-38.35,90,top
C31,93.599,-45.085,270,top
C32,159.258,-70.358,180,top
C4,115.449,-100.695448,270,top
C5,121.499,-107.245448,180,top
C6,68.5,-42.5,180,top
C7,80,-37.25,270,top
C8,61,-48.5,90,top
D1,60.46,-68.4925,270,top
D2,79,-65.51,180,top
D5,110.49,-28.194,180,top
F1,76,-31.5,0,top
,,,,
,,,,
J9,54.864,-77.47,0,top
Q1,76.5,-35,0,top
Q2,71.7,-33.6,90,top
Q3,80.79,-32.75,90,top
R1,86.106,-52,270,top
R10,90.106,-50.3,0,top
R11,91.19,-28.83,180,top
R12,91.186,-30.53,180,top
R13,67.7,-34.7,180,top
R14,91.19,-32.23,0,top
R15,91.9,-26.3,270,top
R16,93,-38,90,top
R18,117.3,-39.4,0,top
R19,90.106,-51.5,0,top
R2,86.606,-50.3,180,top
R20,103,-38,0,top
R21,103,-37,0,top
R23_2,61.468,-77.724,0,top
R23,61.468,-76.454,0,top
R24,90.106,-52.7,0,top
R25,90.106,-53.9,0,top
R3,115.449,-96.745448,90,top
R4,125.5365,-107.245448,0,top
R5,72.4125,-42.5,0,top
R6,61,-52.5,270,top
R7,88.356,-50.8,90,top
R8,88.356,-52.9,90,top
R9,87.056,-54.5,90,top
S1,97.5,-32.5,270,top
U1,86.2,-40.8,270,top
U10,69.350935,-59.811215,267,top
U11,78.475,-51.575,357,top
U12,61.976,-73.66,0,top
U13,106.426,-28.194,180,top
U3,164.084,-72.644,0,top
U4,123.647,-90.145448,90,top
U6,54.61,-68.834,180,top
U7,97,-48,0,top
U8,110,-39,90,top
U9,132.349,-98.845448,0,top
Y1,120.9,-40.65,180,top
