Designator,Mid X,Mid Y,Rotation,Layer
,92.456,-69.088,0.0,top
C1,124.968,-30.48,180.0,top
C14,116.9,-42.0,270.0,top
C15,120.82,-37.36,90.0,top
C16,53.34,-53.594,270.0,top
C17,100.7,-39.7,180.0,top
C18,63.67,-67.54,0.0,top
C19,117.3,-37.0,0.0,top
C20,100.7,-40.8,180.0,top
C21,103.0,-36.0,180.0,top
C22,117.3,-38.2,0.0,top
C23,103.0,-35.0,180.0,top
C24,102.5,-46.25,270.0,top
C25,115.1,-44.82,270.0,top
C26,105.8,-33.528,90.0,top
C27,113.03,-31.75,0.0,top
C28,104.6,-33.401,90.0,top
C29,53.34,-56.67,90.0,top
C3,131.318,-35.24,90.0,top
C30,90.551,-38.354,90.0,top
C31,93.599,-45.085,270.0,top
C32,159.258,-70.358,180.0,top
C4,115.479091,-90.938642,270.0,top
C5,121.529091,-97.488642,180.0,top
C6,68.5,-42.5,180.0,top
C7,80.0,-37.25,270.0,top
C8,61.0,-48.5,90.0,top
D1,60.46,-68.4925,270.0,top
D2,79.0,-65.51,180.0,top
D5,110.49,-28.194,180.0,top
F1,76.0,-31.5,0.0,top
J2_3,115.316,-64.31,180.0,bottom
J2_2,164.29,-78.74,90.0,bottom
J9,54.864,-77.47,0.0,top
Q1,76.5,-35.0,0.0,top
Q2,71.7,-33.6,90.0,top
Q3,80.79,-32.75,90.0,top
R1,86.106,-52.0,270.0,top
R10,90.106,-50.3,0.0,top
R11,91.19,-28.83,180.0,top
R12,91.186,-30.53,180.0,top
R13,67.7,-34.7,180.0,top
R14,91.19,-32.23,0.0,top
R15,91.9,-26.3,270.0,top
R16,93.0,-38.0,90.0,top
R18,117.3,-39.4,0.0,top
R19,90.106,-51.5,0.0,top
R2,86.606,-50.3,180.0,top
R20,103.0,-38.0,0.0,top
R21,103.0,-37.0,0.0,top
R23_2,61.468,-77.724,0.0,top
R23,61.468,-76.454,0.0,top
R24,90.106,-52.7,0.0,top
R25,90.106,-53.9,0.0,top
R3,115.479091,-86.988642,90.0,top
R4,125.566591,-97.488642,0.0,top
R5,72.4125,-42.5,0.0,top
R6,61.0,-52.5,270.0,top
R7,88.356,-50.8,90.0,top
R8,88.356,-52.9,90.0,top
R9,87.056,-54.5,90.0,top
S1,97.5,-32.1625,270.0,top
U1,86.2,-40.8,270.0,top
U10,69.350935,-59.811215,267.0,top
U11,78.475,-51.575,357.0,top
U12,61.976,-73.66,0.0,top
U13,106.426,-28.194,180.0,top
U3,164.084,-72.644,0.0,top
U4,123.677091,-80.388642,90.0,top
U6,54.61,-68.834,180.0,top
U7,97.0,-48.0,0.0,top
U8,110.0,-39.0,90.0,top
U9,132.379091,-89.088642,0.0,top
Y1,120.9,-40.65,180.0,top
