Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,0.047u,C_0603_HandSoldering,131.318,-35.24,90.0,top
C4,0.047u,C_0603_HandSoldering,115.518,-100.46,-90.0,top
C5,0.047u,C_0603_HandSoldering,121.568,-107.01,180.0,top
C6,0.047u,C_0603_HandSoldering,68.5,-42.5,180.0,top
C7,0.047u,C_0603_HandSoldering,80.0,-37.25,-90.0,top
C8,0.047u,C_0603_HandSoldering,61.0,-48.5,90.0,top
C14,27p,C_0402_1005Metric,116.9,-42.0,-90.0,top
C15,27p,C_0402_1005Metric,121.412,-37.719,0.0,top
C16,10u,C_0805_2012Metric,52.832,-52.324,-90.0,top
C17,100n,C_0402_1005Metric,100.7,-39.7,180.0,top
C18,10u,C_0805_2012Metric,63.67,-67.54,0.0,top
C19,100n,C_0402_1005Metric,117.3,-37.0,0.0,top
C20,100n,C_0402_1005Metric,100.7,-40.8,180.0,top
C21,1u,C_0402_1005Metric,103.0,-36.0,180.0,top
C22,100n,C_0402_1005Metric,117.3,-38.2,0.0,top
C23,1u,C_0402_1005Metric,103.0,-35.0,180.0,top
C24,100n,C_0402_1005Metric,102.5,-46.25,-90.0,top
C25,100n,C_0402_1005Metric,115.1,-44.82,-90.0,top
C26,100n,C_0402_1005Metric,105.8,-33.2,90.0,top
C27,100n,C_0402_1005Metric,112.775,-31.8,0.0,top
C28,100n,C_0402_1005Metric,104.6,-33.2,90.0,top
C29,100n,C_0402_1005Metric,53.5,-55.626,-90.0,top
C30,100n,C_0402_1005Metric,90.551,-38.354,90.0,top
C31,100n,C_0402_1005Metric,93.599,-45.085,-90.0,top
C32,100n,C_0402_1005Metric,107.5944,-72.3646,90.0,top
D1,"CUS10S30,H3F",D_SOD-323,60.46,-68.4925,-90.0,top
D2,M7C,D_SOD-323,79.0,-65.51,180.0,top
F1,Fuse,Fuse_1206_3216Metric,76.0,-31.5,0.0,top
H1,5.2mm,MountingHole_5.2mm,73.99,-71.13,0.0,top
H2,Slot,Slot,170.79,-76.13,0.0,top
H3,2mm,MountingHole_2.0mm,55.99,-60.63,0.0,top
H4,2mm,MountingHole_2.0mm,165.99,-60.63,0.0,top
H5,1.8mm,MountingHole_1.8mm,104.39,-51.13,0.0,top
H6,1.8mm,MountingHole_1.8mm,117.59,-51.13,0.0,top
H7,2.4mm,MountingHole_2.4mm,157.99,-41.13,0.0,top
H8,2.2mm,MountingHole_2.2mm,59.006622,-40.346621,0.0,top
H9,2.2mm,MountingHole_2.2mm,80.573378,-61.913378,0.0,top
H10,MountingHole,MountingHole_1.8mm,109.244,-99.404552,90.0,top
H11,MountingHole,MountingHole_5.2mm,113.719,-83.754552,90.0,top
H12,MountingHole,MountingHole_2.0mm,123.719,-103.104552,90.0,top
H13,MountingHole,MountingHole_2.0mm,123.719,-94.104552,90.0,top
H14,MouseBite,breakaway-mousebites-double-v2-small,114.7572,-57.2516,180.0,top
H15,MouseBite,breakaway-mousebites-double-v2-large,109.8804,-60.22685,0.0,top
J1,Conn_01x06_Female,GCC_Header_Straight_1x06_Pitch2.00mm,98.99,-25.855,90.0,bottom
J2,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,84.2264,-64.8716,270.0,bottom
J4,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,155.194,-71.628,0.0,top
J5,Rumble,rumble_pins,87.34,-70.1365,270.0,bottom
J6,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,126.5,-46.5,180.0,bottom
J9,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,55.74,-77.39,0.0,top
J11,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,118.2,-25.55,90.0,top
J14,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,166.25,-79.2,90.0,bottom
