Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Polarized,CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder,107.15,-25.6,90,top
C3,0.047u,C_0603_HandSoldering,131.318,-35.24,90,top
C4,0.047u,C_0603_HandSoldering,115.518,-100.46,-90,top
C5,0.047u,C_0603_HandSoldering,121.568,-107.01,180,top
C6,0.047u,C_0603_HandSoldering,68.5,-42.5,180,top
C7,0.047u,C_0603_HandSoldering,80,-37.25,-90,top
C8,0.047u,C_0603_HandSoldering,61,-48.5,90,top
C14,27p,C_0402_1005Metric,116.9,-42,-90,top
C15,27p,C_0402_1005Metric,121.412,-37.719,0,top
C16,10u,C_0805_2012Metric,51.7,-53.85,-90,top
C17,100n,C_0402_1005Metric,100.7,-39.7,180,top
C18,10u,C_0805_2012Metric,63.375,-65.65,0,top
C19,100n,C_0402_1005Metric,117.3,-37,0,top
C20,100n,C_0402_1005Metric,100.7,-40.8,180,top
C21,1u,C_0402_1005Metric,103,-36,180,top
C22,100n,C_0402_1005Metric,117.3,-38.2,0,top
C23,1u,C_0402_1005Metric,103,-35,180,top
C24,100n,C_0402_1005Metric,102.5,-46.25,-90,top
C25,100n,C_0402_1005Metric,115.1,-44.82,-90,top
C26,100n,C_0402_1005Metric,105.8,-33.2,90,top
C27,100n,C_0402_1005Metric,112.7,-31,0,top
C28,100n,C_0402_1005Metric,104.6,-33.2,90,top
C29,100n,C_0402_1005Metric,53.5,-56.02,-90,top
C30,100n,C_0402_1005Metric,90.551,-38.354,90,top
C31,100n,C_0402_1005Metric,93.599,-45.085,-90,top
C32,100n,C_0402_1005Metric,107.5944,-72.3646,90,top
D1,MBR0520,D_SOD-123,60.425,-65.425,-90,top
D2,M7C,D_SOD-123,79,-65.51,180,top
D3,D_Zener,D_SMA,113.35,-26.35,90,top
D4,D_Zener,D_SMA,155,-67.8,180,top
D5,"CUS10S30,H3F",D_SOD-323,110.45,-25.15,-90,top
F1,Fuse,Fuse_1206_3216Metric,76,-31.5,0,top
H1,5.2mm,MountingHole_5.2mm,73.99,-71.13,0,top
H2,Slot,Slot,170.79,-76.13,0,top
H3,2mm,MountingHole_2.0mm,55.99,-60.63,0,top
H4,2mm,MountingHole_2.0mm,165.99,-60.63,0,top
H5,1.8mm,MountingHole_1.8mm,104.39,-51.13,0,top
H6,1.8mm,MountingHole_1.8mm,117.59,-51.13,0,top
H7,2.4mm,MountingHole_2.4mm,157.99,-41.13,0,top
H8,2.2mm,MountingHole_2.2mm,59.006622,-40.346621,0,top
H9,2.2mm,MountingHole_2.2mm,80.573378,-61.913378,0,top
H10,MountingHole,MountingHole_1.8mm,109.244,-99.404552,90,top
H11,MountingHole,MountingHole_5.2mm,113.719,-83.754552,90,top
H12,MountingHole,MountingHole_2.0mm,123.719,-103.104552,90,top
H13,MountingHole,MountingHole_2.0mm,123.719,-94.104552,90,top
H14,MouseBite,breakaway-mousebites-double-v2-small,114.7572,-57.2516,180,top
H15,MouseBite,breakaway-mousebites-double-v2-large,109.8804,-60.22685,0,top
J1,Conn_01x06_Female,GCC_Header_Straight_1x06_Pitch2.00mm,98.99,-25.855,90,bottom
J2,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,84.2264,-64.8716,270,bottom
J4,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,128.43,-29.55,0,top
J5,Rumble,rumble_pins,87.34,-70.1365,270,bottom
J6,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,126.5,-46.5,180,bottom
J8,GCT_USB4056-03-A_REVA,GCT_USB4056-03-A_REVA,55.5,-75.9025,0,top
J11,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,118.2,-25.55,90,top
J14,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,166.25,-79.2,90,bottom
J15,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,115.3668,-65.41,0,bottom
Q1,Q_NMOS_GSD,SOT-23,76.5,-35,180,top
Q2,Q_PMOS_GDS,SOT-23,71.7,-33.6,-90,top
Q3,Q_NMOS_GSD,SOT-23,80.79,-32.75,-90,top
R1,180,R_0402_1005Metric,86.106,-52,-90,top
R2,180,R_0402_1005Metric,86.606,-50.3,180,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.518,-96.51,90,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.6055,-107.01,0,top
R5,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4125,-42.5,0,top
R6,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61,-52.5,-90,top
R7,180,R_0402_1005Metric,88.356,-50.8,90,top
R8,180,R_0402_1005Metric,88.356,-52.9,90,top
R9,180,R_0402_1005Metric,87.056,-54.5,90,top
R10,316,R_0402_1005Metric,90.106,-50.3,0,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-28.83,180,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-30.53,180,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.7,-34.7,180,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-32.23,0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.9,-26.3,-90,top
R16,1k,C_0402_1005Metric,93,-38,90,top
R18,1k,C_0402_1005Metric,117.3,-39.4,0,top
R19,316,R_0402_1005Metric,90.106,-51.5,0,top
R20,27,C_0402_1005Metric,103,-38,0,top
R21,27,C_0402_1005Metric,103,-37,0,top
R24,316,R_0402_1005Metric,90.106,-52.7,0,top
R25,316,R_0402_1005Metric,90.106,-53.9,0,top
RV1,R_POT_MountingPin,GCC_Slider,85.99,-41.005,0,bottom
RV2,R_POT_MountingPin,GCC_Slider,135.99,-41.005,0,bottom
S1,BOOTSEL,SW_TS-1187A-B-A-B,97.5,-32.1625,-90,top
SW1,A,ABXY_Contact_Omron_Switch,152.270626,-52.22,0,top
SW2,B,ABXY_Contact_Omron_Switch,138.05786,-59.312339,41,top
SW3,X,ABXY_Contact_Omron_Switch,166.587692,-48.691132,12,top
SW4,Y,ABXY_Contact_Omron_Switch,147.451247,-37.294834,-63,top
SW5,Start,Dpad_Contact_TL3315NF_2,111,-51.135,180,top
SW6,L,Pin_Header_Straight_1x02_Pitch2.54mm,51.7,-58.95,180,bottom
SW7,R,Pin_Header_Straight_1x02_Pitch2.54mm,169.9,-59.6,180,bottom
SW8,Z,Z_Switch_Edge_Omron,161.178943,-35.440048,-30,top
SW8L,ZL,Z_Switch_Edge_Omron,60.11527,-34.227612,30,top
SW9,Dleft,Dpad_Contact_TL3315NF_2,80.74,-81.128006,180,top
SW10,Dup,Dpad_Contact_TL3315NF_2,88.688006,-73.18,-90,top
SW11,Dright,Dpad_Contact_TL3315NF_2,96.64,-81.128006,180,top
SW12,Ddown,Dpad_Contact_TL3315NF_2,88.691994,-89.08,90,top
U1,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,86.2,-40.8,0,top
U2,Stickbox_Assembly_Main,GCC_Stickbox_Hall_Only,69.795083,-51.128232,177,top
U3,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,109.518,-77.41,90,top
U4,DRV5055A2xDBZxQ1,SOT-23,123.716,-89.91,-90,top
U5,Stickbox_Assembly_CStick,GCC_Stickbox_Hall_Only,123.719,-98.604551,-90,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,54.3,-66.65,0,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,97,-48,90,top
U8,RP2040,RP2040-QFN-56,110,-39,90,top
U9,DRV5055A2xDBZxQ1,SOT-23,132.418,-98.61,180,top
U10,DRV5055A2xDBZxQ1,SOT-23,69.350935,-59.811215,87,top
U11,DRV5055A2xDBZxQ1,SOT-23,78.475,-51.575,177,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,120.9,-40.65,180,top
